id,year,crop,season,min_support_price
0,2022-2023,Paddy - Common,Kharif,2040
1,2022-2023,Paddy - Grade 'A',Kharif,2060
2,2022-2023,Jowar - Hybrid,Kharif,2970
3,2022-2023,Jowar - Maldandi,Kharif,2990
4,2022-2023,Bajra,Kharif,2350
5,2022-2023,Maize,Kharif,1962
6,2022-2023,Ragi,Kharif,3578
7,2022-2023,Arhar(Tur),Kharif,6600
8,2022-2023,"Moong,",Kharif,7755
9,2022-2023,Urad,Kharif,6600
10,2022-2023,Cotton,Kharif,6080
11,2022-2023,Cotton H-4,Kharif,6380
12,2022-2023,Groundnut In Shell,Kharif,5850
13,2022-2023,Sunflower  Seed,Kharif,6400
14,2022-2023,Soyabeen - Yellow,Kharif,7287
15,2022-2023,Sesamum,Kharif,7830
16,2022-2023,Nigerseed,Kharif,7287
17,2022-2023,Wheat,Rabi,2125
18,2022-2023,Barley,Rabi,1735
19,2022-2023,Gram,Rabi,5335
20,2022-2023,Masur (Lentil),Rabi,6000
21,2022-2023,Rapeseed/Mustard,Rabi,5450
22,2022-2023,Safflower,Rabi,5650
24,2022-2023,Copra - Milling,Others,10590
25,2022-2023,Copra - Ball,Others,11000
26,2022-2023,De-Husked Coconut,Others,2860
27,2022-2023,Jute,Others,4750
28,2021-2022,Paddy - Common,Kharif,1940
29,2021-2022,Paddy - Grade 'A',Kharif,1960
30,2021-2022,Jowar - Hybrid,Kharif,2738
31,2021-2022,Jowar - Maldandi,Kharif,2758
32,2021-2022,Bajra,Kharif,2250
33,2021-2022,Maize,Kharif,1870
34,2021-2022,Ragi,Kharif,3377
35,2021-2022,Arhar(Tur),Kharif,6300
36,2021-2022,"Moong,",Kharif,7275
37,2021-2022,Urad,Kharif,6300
38,2021-2022,Cotton,Kharif,5726
39,2021-2022,Cotton H-4,Kharif,6025
40,2021-2022,Groundnut In Shell,Kharif,5550
41,2021-2022,Sunflower  Seed,Kharif,6015
42,2021-2022,Soyabeen - Yellow,Kharif,3950
43,2021-2022,Sesamum,Kharif,7307
44,2021-2022,Nigerseed,Kharif,6930
45,2021-2022,Wheat,Rabi,2015
46,2021-2022,Barley,Rabi,1635
47,2021-2022,Gram,Rabi,5230
48,2021-2022,Masur (Lentil),Rabi,5500
49,2021-2022,Rapeseed/Mustard,Rabi,5050
50,2021-2022,Safflower,Rabi,5441
51,2021-2022,Toria,Rabi,5050
52,2021-2022,Copra - Milling,Others,10335
53,2021-2022,Copra - Ball,Others,10600
54,2021-2022,De-Husked Coconut,Others,2800
55,2021-2022,Jute,Others,4500
56,2020-2021,Paddy - Common,Kharif,1868
57,2020-2021,Paddy - Grade 'A',Kharif,1888
58,2020-2021,Jowar - Hybrid,Kharif,2620
59,2020-2021,Jowar - Maldandi,Kharif,2640
60,2020-2021,Bajra,Kharif,2150
61,2020-2021,Maize,Kharif,1850
62,2020-2021,Ragi,Kharif,3295
63,2020-2021,Arhar(Tur),Kharif,6000
64,2020-2021,"Moong,",Kharif,7196
65,2020-2021,Urad,Kharif,6000
66,2020-2021,Cotton,Kharif,5515
67,2020-2021,Cotton H-4,Kharif,5825
68,2020-2021,Groundnut In Shell,Kharif,5275
69,2020-2021,Sunflower  Seed,Kharif,5885
70,2020-2021,Soyabeen - Yellow,Kharif,3880
71,2020-2021,Sesamum,Kharif,6249
72,2020-2021,Nigerseed,Kharif,6695
73,2020-2021,Wheat,Rabi,1975
74,2020-2021,Barley,Rabi,1600
75,2020-2021,Gram,Rabi,5100
76,2020-2021,Masur (Lentil),Rabi,5100
77,2020-2021,Rapeseed/Mustard,Rabi,4650
78,2020-2021,Safflower,Rabi,5327
79,2020-2021,Toria,Rabi,4650
80,2020-2021,Copra - Milling,Others,9960
81,2020-2021,Copra - Ball,Others,10300
82,2020-2021,De-Husked Coconut,Others,2700
83,2020-2021,Jute,Others,4225
84,2019-2020,Paddy - Common,Kharif,1815
85,2019-2020,Paddy - Grade 'A',Kharif,1835
86,2019-2020,Jowar - Hybrid,Kharif,2550
87,2019-2020,Jowar - Maldandi,Kharif,2570
88,2019-2020,Bajra,Kharif,2000
89,2019-2020,Maize,Kharif,1760
90,2019-2020,Ragi,Kharif,3150
91,2019-2020,Arhar(Tur),Kharif,5800
92,2019-2020,"Moong,",Kharif,7050
93,2019-2020,Urad,Kharif,5700
94,2019-2020,Cotton,Kharif,5255
95,2019-2020,Cotton H-4,Kharif,5550
96,2019-2020,Groundnut In Shell,Kharif,5090
97,2019-2020,Sunflower  Seed,Kharif,5650
98,2019-2020,Soyabeen - Yellow,Kharif,3710
99,2019-2020,Sesamum,Kharif,6485
100,2019-2020,Nigerseed,Kharif,5940
101,2019-2020,Wheat,Rabi,1925
102,2019-2020,Barley,Rabi,1525
103,2019-2020,Gram,Rabi,4875
104,2019-2020,Masur (Lentil),Rabi,4800
105,2019-2020,Rapeseed/Mustard,Rabi,4425
106,2019-2020,Safflower,Rabi,5215
107,2019-2020,Toria,Rabi,4425
108,2019-2020,Copra - Milling,Others,9521
109,2019-2020,Copra - Ball,Others,9920
110,2019-2020,De-Husked Coconut,Others,2571
111,2019-2020,Jute,Others,3950
112,2018-2019,Paddy - Common,Kharif,1750
113,2018-2019,Paddy - Grade 'A',Kharif,1770
114,2018-2019,Jowar - Hybrid,Kharif,2430
115,2018-2019,Jowar - Maldandi,Kharif,2450
116,2018-2019,Bajra,Kharif,1950
117,2018-2019,Maize,Kharif,1700
118,2018-2019,Ragi,Kharif,2897
119,2018-2019,Arhar(Tur),Kharif,5675
120,2018-2019,"Moong,",Kharif,6975
121,2018-2019,Urad,Kharif,5600
122,2018-2019,Cotton,Kharif,5150
123,2018-2019,Cotton H-4,Kharif,5450
124,2018-2019,Groundnut In Shell,Kharif,4890
125,2018-2019,Sunflower  Seed,Kharif,5388
126,2018-2019,Soyabeen - Yellow,Kharif,3399
127,2018-2019,Sesamum,Kharif,6249
128,2018-2019,Nigerseed,Kharif,5877
129,2018-2019,Wheat,Rabi,1840
130,2018-2019,Barley,Rabi,1440
131,2018-2019,Gram,Rabi,4620
132,2018-2019,Masur (Lentil),Rabi,4475
133,2018-2019,Rapeseed/Mustard,Rabi,4200
134,2018-2019,Safflower,Rabi,4945
135,2018-2019,Toria,Rabi,4190
136,2018-2019,Copra - Milling,Others,7511
137,2018-2019,Copra - Ball,Others,7750
138,2018-2019,De-Husked Coconut,Others,2030
139,2018-2019,Jute,Others,3700
140,2017-2018,Paddy - Common,Kharif,1550
141,2017-2018,Paddy - Grade 'A',Kharif,1590
142,2017-2018,Jowar - Hybrid,Kharif,1700
143,2017-2018,Jowar - Maldandi,Kharif,1725
144,2017-2018,Bajra,Kharif,1425
145,2017-2018,Maize,Kharif,1425
146,2017-2018,Ragi,Kharif,1900
147,2017-2018,Arhar(Tur),Kharif,5450
148,2017-2018,"Moong,",Kharif,5575
149,2017-2018,Urad,Kharif,5400
150,2017-2018,Cotton,Kharif,4020
151,2017-2018,Cotton H-4,Kharif,4320
152,2017-2018,Groundnut In Shell,Kharif,4450
153,2017-2018,Sunflower  Seed,Kharif,4100
154,2017-2018,Soyabeen - Yellow,Kharif,3050
155,2017-2018,Sesamum,Kharif,5300
156,2017-2018,Nigerseed,Kharif,4050
157,2017-2018,Wheat,Rabi,1735
158,2017-2018,Barley,Rabi,1410
159,2017-2018,Gram,Rabi,4400
160,2017-2018,Masur (Lentil),Rabi,4250
161,2017-2018,Rapeseed/Mustard,Rabi,4000
162,2017-2018,Safflower,Rabi,4100
163,2017-2018,Toria,Rabi,3900
164,2017-2018,Copra - Milling,Others,6500
165,2017-2018,Copra - Ball,Others,6785
166,2017-2018,De-Husked Coconut,Others,1760
167,2017-2018,Jute,Others,3500
168,2017-2018,Sugarcane ,Others,255
169,2016-2017,Paddy - Common,Kharif,1470
170,2016-2017,Paddy - Grade 'A',Kharif,1510
171,2016-2017,Jowar - Hybrid,Kharif,1625
172,2016-2017,Jowar - Maldandi,Kharif,1650
173,2016-2017,Bajra,Kharif,1330
174,2016-2017,Maize,Kharif,1365
175,2016-2017,Ragi,Kharif,1725
176,2016-2017,Arhar(Tur),Kharif,5050
177,2016-2017,"Moong,",Kharif,5225
178,2016-2017,Urad,Kharif,5000
179,2016-2017,Cotton,Kharif,3860
180,2016-2017,Cotton H-4,Kharif,4160
181,2016-2017,Groundnut In Shell,Kharif,4220
182,2016-2017,Sunflower  Seed,Kharif,3950
183,2016-2017,Soyabeen - Yellow,Kharif,2775
184,2016-2017,Sesamum,Kharif,5000
185,2016-2017,Nigerseed,Kharif,3825
186,2016-2017,Wheat,Rabi,1625
187,2016-2017,Barley,Rabi,1325
188,2016-2017,Gram,Rabi,4000
189,2016-2017,Masur (Lentil),Rabi,3950
190,2016-2017,Rapeseed/Mustard,Rabi,3700
191,2016-2017,Safflower,Rabi,3700
192,2016-2017,Toria,Rabi,3560
193,2016-2017,Copra - Milling,Others,5950
194,2016-2017,Copra - Ball,Others,6240
195,2016-2017,De-Husked Coconut,Others,1600
196,2016-2017,Jute,Others,3200
197,2016-2017,Sugarcane ,Others,230
198,2015-2016,Paddy - Common,Kharif,1410
199,2015-2016,Paddy - Grade 'A',Kharif,1450
200,2015-2016,Jowar - Hybrid,Kharif,1570
201,2015-2016,Jowar - Maldandi,Kharif,1590
202,2015-2016,Bajra,Kharif,1275
203,2015-2016,Maize,Kharif,1325
204,2015-2016,Ragi,Kharif,1650
205,2015-2016,Arhar(Tur),Kharif,4625
206,2015-2016,"Moong,",Kharif,4850
207,2015-2016,Urad,Kharif,4625
208,2015-2016,Cotton,Kharif,3800
209,2015-2016,Cotton H-4,Kharif,4100
210,2015-2016,Groundnut In Shell,Kharif,4030
211,2015-2016,Sunflower  Seed,Kharif,3800
212,2015-2016,Soyabeen - Yellow,Kharif,2600
213,2015-2016,Sesamum,Kharif,4700
214,2015-2016,Nigerseed,Kharif,3650
215,2015-2016,Wheat,Rabi,1525
216,2015-2016,Barley,Rabi,1225
217,2015-2016,Gram,Rabi,3500
218,2015-2016,Masur (Lentil),Rabi,3400
219,2015-2016,Rapeseed/Mustard,Rabi,3350
220,2015-2016,Safflower,Rabi,3300
221,2015-2016,Toria,Rabi,3290
222,2015-2016,Copra - Milling,Others,5550
223,2015-2016,Copra - Ball,Others,5830
224,2015-2016,De-Husked Coconut,Others,1500
225,2015-2016,Jute,Others,2700
226,2015-2016,Sugarcane ,Others,230
227,2014-2015,Paddy - Common,Kharif,1360
228,2014-2015,Paddy - Grade 'A',Kharif,1400
229,2014-2015,Jowar - Hybrid,Kharif,1530
230,2014-2015,Jowar - Maldandi,Kharif,1550
231,2014-2015,Bajra,Kharif,1250
232,2014-2015,Maize,Kharif,1310
233,2014-2015,Ragi,Kharif,1550
234,2014-2015,Arhar(Tur),Kharif,4350
235,2014-2015,"Moong,",Kharif,4600
236,2014-2015,Urad,Kharif,4350
237,2014-2015,Cotton,Kharif,3750
238,2014-2015,Cotton H-4,Kharif,4050
239,2014-2015,Groundnut In Shell,Kharif,4000
240,2014-2015,Sunflower  Seed,Kharif,3750
241,2014-2015,Soyabeen - Black,Kharif,2500
242,2014-2015,Soyabeen - Yellow,Kharif,2560
243,2014-2015,Sesamum,Kharif,4600
244,2014-2015,Nigerseed,Kharif,3600
245,2014-2015,Wheat,Rabi,1450
246,2014-2015,Barley,Rabi,1150
247,2014-2015,Gram,Rabi,3175
248,2014-2015,Masur (Lentil),Rabi,3075
249,2014-2015,Rapeseed/Mustard,Rabi,3100
250,2014-2015,Safflower,Rabi,3050
251,2014-2015,Toria,Rabi,3020
252,2014-2015,Copra - Milling,Others,5250
253,2014-2015,Copra - Ball,Others,5500
254,2014-2015,De-Husked Coconut,Others,1425
255,2014-2015,Jute,Others,2400
256,2014-2015,Sugarcane ,Others,220
257,2013-2014,Paddy - Common,Kharif,1310
258,2013-2014,Paddy - Grade 'A',Kharif,1345
259,2013-2014,Jowar - Hybrid,Kharif,1500
260,2013-2014,Jowar - Maldandi,Kharif,1520
261,2013-2014,Bajra,Kharif,1250
262,2013-2014,Maize,Kharif,1310
263,2013-2014,Ragi,Kharif,1500
264,2013-2014,Arhar(Tur),Kharif,4300
265,2013-2014,"Moong,",Kharif,4500
266,2013-2014,Urad,Kharif,4300
267,2013-2014,Cotton,Kharif,3700
268,2013-2014,Cotton H-4,Kharif,4000
269,2013-2014,Groundnut In Shell,Kharif,4000
270,2013-2014,Sunflower  Seed,Kharif,3700
271,2013-2014,Soyabeen - Black,Kharif,2500
272,2013-2014,Soyabeen - Yellow,Kharif,2560
273,2013-2014,Sesamum,Kharif,4500
274,2013-2014,Nigerseed,Kharif,3500
275,2013-2014,Wheat,Rabi,1400
276,2013-2014,Barley,Rabi,1100
277,2013-2014,Gram,Rabi,3100
278,2013-2014,Masur (Lentil),Rabi,2950
279,2013-2014,Rapeseed/Mustard,Rabi,3050
280,2013-2014,Safflower,Rabi,3000
281,2013-2014,Toria,Rabi,3020
282,2013-2014,Copra - Milling,Others,5250
283,2013-2014,Copra - Ball,Others,5500
284,2013-2014,De-Husked Coconut,Others,1425
285,2013-2014,Jute,Others,2300
286,2013-2014,Sugarcane ,Others,210
287,2011-2012,Paddy - Common,Kharif,1080
288,2011-2012,Paddy - Grade 'A',Kharif,1110
289,2011-2012,Jowar - Hybrid,Kharif,980
290,2011-2012,Jowar - Maldandi,Kharif,1000
291,2011-2012,Bajra,Kharif,980
292,2011-2012,Maize,Kharif,980
293,2011-2012,Ragi,Kharif,1050
294,2011-2012,Arhar(Tur),Kharif,3200
295,2011-2012,"Moong,",Kharif,3500
296,2011-2012,Urad,Kharif,3300
297,2011-2012,Cotton,Kharif,2800
298,2011-2012,Cotton H-4,Kharif,3300
299,2011-2012,Groundnut In Shell,Kharif,2700
300,2011-2012,Sunflower  Seed,Kharif,2800
301,2011-2012,Soyabeen - Black,Kharif,1650
302,2011-2012,Soyabeen - Yellow,Kharif,1690
303,2011-2012,Sesamum,Kharif,3400
304,2011-2012,Nigerseed,Kharif,2900
305,2011-2012,Wheat,Rabi,1285
306,2011-2012,Barley,Rabi,980
307,2011-2012,Gram,Rabi,2800
308,2011-2012,Masur (Lentil),Rabi,2800
309,2011-2012,Rapeseed/Mustard,Rabi,2500
310,2011-2012,Safflower,Rabi,2500
311,2011-2012,Toria,Rabi,2425
312,2011-2012,Copra - Milling,Others,4525
313,2011-2012,Copra - Ball,Others,4775
314,2011-2012,De-Husked Coconut,Others,1200
315,2011-2012,Jute,Others,1675
316,2011-2012,Sugarcane ,Others,145
317,2012-2013,Paddy - Common,Kharif,1250
318,2012-2013,Paddy - Grade 'A',Kharif,1280
319,2012-2013,Jowar - Hybrid,Kharif,1500
320,2012-2013,Jowar - Maldandi,Kharif,1520
321,2012-2013,Bajra,Kharif,1175
322,2012-2013,Maize,Kharif,1175
323,2012-2013,Ragi,Kharif,1500
324,2012-2013,Arhar(Tur),Kharif,3850
325,2012-2013,"Moong,",Kharif,4400
326,2012-2013,Urad,Kharif,4300
327,2012-2013,Cotton,Kharif,3600
328,2012-2013,Cotton H-4,Kharif,3900
329,2012-2013,Groundnut In Shell,Kharif,3700
330,2012-2013,Sunflower  Seed,Kharif,3700
331,2012-2013,Soyabeen - Black,Kharif,2200
332,2012-2013,Soyabeen - Yellow,Kharif,2240
333,2012-2013,Sesamum,Kharif,4200
334,2012-2013,Nigerseed,Kharif,3500
335,2012-2013,Wheat,Rabi,1350
336,2012-2013,Barley,Rabi,980
337,2012-2013,Gram,Rabi,3000
338,2012-2013,Masur (Lentil),Rabi,2900
339,2012-2013,Rapeseed/Mustard,Rabi,3000
340,2012-2013,Safflower,Rabi,2800
341,2012-2013,Toria,Rabi,2970
342,2012-2013,Copra - Milling,Others,5100
343,2012-2013,Copra - Ball,Others,5350
344,2012-2013,De-Husked Coconut,Others,1400
345,2012-2013,Jute,Others,2200
346,2012-2013,Sugarcane ,Others,170
347,2010-2011,Paddy - Common,Kharif,1000
348,2010-2011,Paddy - Grade 'A',Kharif,1030
349,2010-2011,Jowar - Hybrid,Kharif,880
350,2010-2011,Jowar - Maldandi,Kharif,900
351,2010-2011,Bajra,Kharif,880
352,2010-2011,Maize,Kharif,880
353,2010-2011,Ragi,Kharif,965
354,2010-2011,Arhar(Tur),Kharif,3000
355,2010-2011,"Moong,",Kharif,3170
356,2010-2011,Urad,Kharif,2900
357,2010-2011,Cotton,Kharif,2500
358,2010-2011,Cotton H-4,Kharif,3000
359,2010-2011,Groundnut In Shell,Kharif,2300
360,2010-2011,Sunflower  Seed,Kharif,2350
361,2010-2011,Soyabeen - Black,Kharif,1400
362,2010-2011,Soyabeen - Yellow,Kharif,1440
363,2010-2011,Sesamum,Kharif,2900
364,2010-2011,Nigerseed,Kharif,2450
365,2010-2011,Wheat,Rabi,1120
366,2010-2011,Barley,Rabi,780
367,2010-2011,Gram,Rabi,2100
368,2010-2011,Masur (Lentil),Rabi,2250
369,2010-2011,Rapeseed/Mustard,Rabi,1850
370,2010-2011,Safflower,Rabi,1800
371,2010-2011,Toria,Rabi,1780
